,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scrape_date
201,Job Opportunity For Oracle DBA profile at In Solutions global - Mumbai,In Solutions Global (ISG),11-17 Yrs,Not disclosed,"Mumbai, Mumbai Suburban, Navi Mumbai", Good understanding of the Oracle database (RAC/Cluster and Standalone databases)Good un...,Database Administration,administration oracle global dbms oracle dba,1 Day Ago,2023-03-05
202,Ab Initio Database Administrator,Accenture,4-6 Yrs,Not disclosed,Pune," Technical Experience : a: Promotion of source code between environments DEVL, ACPT, PRO...",Performance tuning,Configuration management Consulting Ab Initio DBMS ab administration usage,5 Days Ago,2023-03-05
203,Database Administration Advisor- Snowflake DBA,NTT,4-7 Yrs,Not disclosed,Bangalore/Bengaluru, Monitor Performance / Bad Queries (runaways) . . Monitor overall usage / credit consump...,sdlc,automation process consulting monitoring data snowflake administration,1 Day Ago,2023-03-05
204,Database Administrator WITH Redshift,Burgeon It Services,5-10 Yrs,6-16 Lacs PA,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", Minimum 1+ year of experience in handling Redshift database support and AWS RDS Experie...,postgresql,MYSQL aws database administration software administration open source network security,2 Days Ago,2023-03-05
205,DBA,IBM,2-6 Yrs,Not disclosed,Bangalore/Bengaluru," Provide DBA support on all aspects of databases administration including provisioning, ...",Unix,Linux Troubleshooting Oracle SQL management problem management change,2 Days Ago,2023-03-05
206,Distributed Database Administrator,Global Payments,3-7 Yrs,Not disclosed,Pune, The SSRS (SQL Server Reporting Services) systems administrator role requires that this ...,reporting,server sql server reporting services distribution troubleshooting server administration database administration odbc,5 Days Ago,2023-03-05
207,SAP Purchasing (MM PO) Platform Database Administrator,Accenture,8-10 Yrs,Not disclosed,Mumbai, Educational Qualification : Minimum 15 years of full time education . . . . Professiona...,Business process,SAP MM Configuration management Consulting DBMS sap database administration administration,4 Days Ago,2023-03-05
208,Database Administrator,Elitecore Infotech,3-7 Yrs,Not disclosed,New Delhi, 2-5 years of experience in development Strong technical knowledge Issue finding and ind...,administration,database administration dbms Database Administrator,3 Days Ago,2023-03-05
209,Certified Database Administrator,Growby Exx Services,5-9 Yrs,Not disclosed,Permanent Remote, Roles and Responsibilities :5 years as a Database Administrator or similar rolesCertifi...,SQL Server Administration,SQL DBA Mssql Dba disaster recover database migration shipping sql mysql,1 Day Ago,2023-03-05
210,Database Administrator,Era University,4-6 Yrs,Not disclosed,Lucknow, Roles Performs the capacity planning required to create and maintain the databases and ...,Query Optimization,database design sql profiler profiling administration dbms database administration nosql,1 Day Ago,2023-03-05
211,Database Administrator,Infosys,5-9 Yrs,Not disclosed,Bangalore/Bengaluru," Bachelor of Engineering Analytical abilities, Strong Technical Skills, Good communicati...",Testing tools,agile methodology tools database administration administration debugging software quality assurance quality,11 Days Ago,2023-03-05
212,Senior Database Administrator (Oracle DBA),Snapdeal,4-8 Yrs,10-19 Lacs PA,Gurgaon/Gurugram, Roles and Responsibilities Responsible for all aspects of Application database administ...,oracle dba,database administration application vertica dbms administration oracle apps oracle,10 Days Ago,2023-03-05
213,Vertica DBA Admin,Infosys,3-5 Yrs,Not disclosed,Bangalore/Bengaluru, Bachelor of Engineering Good understanding of SDLC and agile methodologies,DBA,engineering agile vertica vertica dba database administration sdlc performance engineering,12 Days Ago,2023-03-05
214,Vertica DBA Admin,Infosys,5-7 Yrs,Not disclosed,Bangalore/Bengaluru, Bachelor of Engineering Basic understanding of project domain. . Ability to translate f...,Vertica Administration,engineering agile methodology agile vertica vertica dba database administration sdlc,12 Days Ago,2023-03-05
215,IFS Solutions Administration Database Administrator,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad, Educational Qualification : Minimum 15yrs full time education Technical Experience : 1 ...,C#,ERP Data migration Configuration management DBMS ifs data administration,12 Days Ago,2023-03-05
216,Database Administrator,Youth4 Talent Solutions and Services,8-10 Yrs,Not disclosed,Bangalore/Bengaluru, Manage all the data bases deployed in the organization across On-prem and cloud. Recomm...,Data administration,management warehouse base database administration administration dbms data warehousing,3 Days Ago,2023-03-05
217,Huge Openings For Postgres DBA For C2H Position,Alp Consulting,3-6 Yrs,1-4 Lacs PA,Mumbai, Manage user access and permissions by adding and removing users as required,database administration,positioning plsql c2h postgresql development plsql development,5 Days Ago,2023-03-05
218,Database Administrator,Tata Consultancy Services (TCS),6-8 Yrs,5-15 Lacs PA,Chennai, Prefer flexible team player for rotational shifts / On-call support. . Oracle enterpris...,oracle rac,rman datapump dbms rac oracle database administration administration,12 Days Ago,2023-03-05
219,L2 DBA,Fusion Plus Solutions Inc,5-8 Yrs,Not disclosed,Hyderabad/Secunderabad, Strong understanding of Oracle core database architecture and concepts . . Oracle Insta...,database administration,management database maintenance database design microsoft windows performance tuning deployment operating systems,4 Days Ago,2023-03-05
220,"Ecommerce Amazon Manager, Pune",Ozori Industries,1-6 Yrs,2.5-4 Lacs PA,Pune(Katraj Kondhwa Road)," CompanyColombian Brew Coffee is a leading coffee brand in India, UAE, USA, etc.PostionE...",amazon seller central,Ecommerce Development ecommerce listings ecommerce management marketplace listings management instagram marketing media marketing,1 Day Ago,2023-03-05
221,ECommerce Manager,RGBSI,15-19 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru", Position requires a four-year degree from an accredited college or university. •Ten yea...,WEBSPHERE COMMERCE SUBSYTEMS,E-commerce websphere management websphere commerce server,1 Day Ago,2023-03-05
222,Deputy Manager- Ecommerce,Pepsi Foods,1-5 Yrs,Not disclosed,Hyderabad/Secunderabad, Ideally has experience in eCommHas been exposed as a part of a broader UX design teams ...,analysis,analytical skill research analytics management product portfolio usage test analysis,1 Day Ago,2023-03-05
223,Ecommerce Executive,Ecommex Sourcing,0-2 Yrs,1-2 Lacs PA,Vadodara, General Office time (day shift) The candidate should be a graduate in any specializatio...,Excel,communication skills advanced excel back office back office operations sheet back office operation selling,8 Days Ago,2023-03-05
224,Ecommerce Executive,Rishab World,0-3 Yrs,2-3 Lacs PA,Mumbai (All Areas), Well Versed with MS-Office,order management,client interaction communication skills order fulfillment digital e-commerce digital communication inventory,9 Days Ago,2023-03-05
225,Ecommerce Operations Executive,Roopshree Exports,0-5 Yrs,1.75-3 Lacs PA (Including Variable: 10.0%),"PN 3 , Vrandavan Farms , Near thar dry port , Boranada Road , Jodhpur", Requirements: 1.Bachelor's qualification /12th Standard cleared in any field 2. Good co...,Ecommerce,dispatch data entry product listing sales accounting marketing order fulfillment,1 Day Ago,2023-03-05
226,Key Account Manager - Ecommerce,Relaxo,7-12 Yrs,11-15 Lacs PA,Delhi / NCR," Thorough experience and deep knowledge of the Digital eco-system, including hands-on ex...",Ecommerce Marketing,management digital marketing digital sales digital sales key accounts key,2 Days Ago,2023-03-05
227,Manager - Marketing - eCommerce,Successr Hr Tech,2-7 Yrs,Not disclosed,Bangalore/Bengaluru, Minimum 2 to 3 years- experience in e-commerce industry with strong knowledge and good ...,MS Excel,sales statistics Marketing management product pricing sales catalog sales promotion,5 Days Ago,2023-03-05
228,Manager - Marketing - eCommerce,Successr Hr Tech,2-7 Yrs,Not disclosed,Bangalore/Bengaluru, Minimum 2 to 3 years- experience in e-commerce industry with strong knowledge and good ...,Marketing,management e-commerce microsoft vlookup pivot excel MS Excel,5 Days Ago,2023-03-05
229,Manager - App Marketing - Internet/Online/eCommerce,Prime Infosoft,4-7 Yrs,Not disclosed,Bangalore/Bengaluru," 4-5 years of digital marketing experience with E-commerce, Social commerce or Ed-Tech -...",Usage,Google Analytics Analytical Strategic planning Digital marketing management google e-commerce,3 Days Ago,2023-03-05
230,eCommerce Portal Manager Sr,Successr Hr Tech,6-8 Yrs,Not disclosed,Bangalore/Bengaluru, Minimum 7 to 10years experience in e-commerce industry with strong knowledge and good u...,Ecommerce Development,digital campaigns digital vlookup management planning e-commerce brand communication,3 Days Ago,2023-03-05
231,Moshi Moshi - Category Manager - eCommerce Domain,Moshi Moshi,5-7 Yrs,Not disclosed,Bangalore/Bengaluru, Category Manager- E-Commerce Roles and Responsibilities :- Business Opportunity mapping...,B2B Marketing,management category management moshi b2b e-commerce marketing dns,3 Days Ago,2023-03-05
232,Asst. Manager - ECommerce Sales,Zebronics,3-8 Yrs,Not disclosed,Chennai," Working closely with the Category Managers of Amazon, Flipkart, Myntra, etc for busines...",ECommerce,E-Commerce online sales ECommerce Sales trend sales management ecommerce development business development,4 Days Ago,2023-03-05
233,Manager/Senior Manager - Marketing - eCommerce,Megma Services,5-9 Yrs,Not disclosed,Mumbai," The ideal candidate must be able to think and act both strategically and tactically, be...",Marketing,management brand management marketing management senior management app marketing e-commerce branding,5 Days Ago,2023-03-05
234,eCommerce Manager - eCommerce,Right Brain Recruitment,3-6 Yrs,Not disclosed,Bangalore/Bengaluru," - Effectively manage, support brand and manage daily operations of various brands to en...",Relationship management,Claims E-commerce Logistics Process management customer service management customer service management,3 Days Ago,2023-03-05
235,Senior Portal Manager - eCommerce,Successr Hr Tech,7-10 Yrs,Not disclosed,Bangalore/Bengaluru, What we are looking for . . - Minimum 7 to 10years- experience in e-commerce industry w...,Commercial Banking,BFSI Sales Corporate Banking marketing commercial research market research reporting,5 Days Ago,2023-03-05
236,Product Manager - eCommerce,Meyrahkee,3-8 Yrs,Not disclosed,Bangalore/Bengaluru, Devise Product Strategy: Define both long term strategy and quarterly roadmap to achiev...,Product Management,management internet consumer internet e-commerce consumer it product development online product management,4 Days Ago,2023-03-05
237,Assistant Manager - US GAAP Accounting - eCommerce - CA,Phenom Placement,2-6 Yrs,Not disclosed,Bangalore/Bengaluru, Employer - Leading E-commerce payment system and digital wallet companyRole. - Assistan...,Accounting,balance sheet reconciliation ledger accounting e-commerce management balance finance,3 Days Ago,2023-03-05
238,Insights Manager - Ecommerce and Gaming,Right Brain Recruitment,4-8 Yrs,Not disclosed,Bangalore/Bengaluru, Role Overview :The manager will be responsible for providing information and insights r...,market analysis,marketing research management insights gaming competitive analysis e-commerce,4 Days Ago,2023-03-05
239,Product Manager - eCommerce,Meyrahkee Advisors,3-8 Yrs,Not disclosed,Bangalore/Bengaluru, Devise Product Strategy: Define both long term strategy and quarterly roadmap to achiev...,Product Management,management internet consumer internet e-commerce consumer it product development online product management,3 Days Ago,2023-03-05
